"TIPO_EVENTO","DEPARTAMENTO","CODIGO_DANE_DEPARTAMENTO","MUNICIPIO","CODIGO_DANE_MUNICIPIO","AÑO","MES","EVENTO","TIPO_LUGAR","TIPO_AREA","LATITUD_CABECERA","LONGITUD_CABECERA","SITIO","UBICACION"
"Desminado militar en operaciones","NARIÑO","52","MALLAMA","52,435","2,015","4","Incidente","Sin informacion","Rural","1.1616666667","-77.89138889","Vereda El Rosal","POINT (-77.89138889 1.1616666667)"
"Desminado militar en operaciones","ARAUCA","81","TAME","81,794","2,015","4","Incidente","Sin informacion","Rural","6.3066666667","-71.67416667","Vereda El Susto","POINT (-71.67416667 6.3066666667)"
"Desminado militar en operaciones","NARIÑO","52","CUMBAL","52,227","2,015","4","Incidente","Sin informacion","Rural","0.94","-78.11166667","Vereda El Dorado","POINT (-78.11166667 0.94)"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,015","4","Incidente","Sin informacion","Rural","3.3175","-74.28166667","Vereda La Floresta","POINT (-74.28166667 3.3175)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,015","4","Incidente","Sin informacion","Rural","2.5980555556","-74.51166667","Vereda Guaduas","POINT (-74.51166667 2.5980555556)"
"Desminado militar en operaciones","BOLIVAR","13","SAN PABLO","13,670","2,010","3","Incidente","Sin informacion","Rural","7.38083333333","-74.01138888889","El San Juan","POINT (-74.0113888888889 7.38083333333333)"
"Desminado militar en operaciones","BOGOTA DC","11","Bogotá DC","11,001","2,010","3","Incidente","Sin informacion","Rural","4.131944","-74.185","La Vereda Las Animas Localidad 20","POINT (-74.185 4.131944)"
"Desminado militar en operaciones","GUAVIARE","95","SAN JOSÉ DEL GUAVIARE","95,001","2,010","3","Incidente","Sin informacion","Rural","2.178333","-73.615556","La Vereda La Fundacion","POINT (-73.615556 2.178333)"
"Desminado militar en operaciones","META","50","LA MACARENA","50,350","2,010","3","Incidente","Sin informacion","Rural","2.570556","-73.7425","El Caño Yarumales","POINT (-73.7425 2.570556)"
"Desminado militar en operaciones","GUAVIARE","95","SAN JOSÉ DEL GUAVIARE","95,001","2,009","10","Incidente","Sin informacion","Rural","2.2625","-73.306111","Vereda Alto Cachicamo","POINT (-73.306111 2.2625)"
"Desminado militar en operaciones","TOLIMA","73","ROVIRA","73,624","2,010","2","Incidente","Sin informacion","Rural","4.285833","-75.341667","La Islandia","POINT (-75.341667 4.285833)"
